Date,City,Cause of Death,Country
10/25/2003,Shkin -  Afghanistan,Terrorist Action,
10/25/2003,Shkin -  Afghanistan,Terrorist Action,
8/29/2004,Kabul -  Afghanistan,Terrorist Action,
8/29/2004,Kabul -  Afghanistan,Terrorist Action,
8/29/2004,Kabul -  Afghanistan,Terrorist Action,
10/23/2004,Kabul -  Afghanistan,Terrorist Action,
11/27/2004,Baba Mountain -  Bamian Province -  Afghanistan,Air Accident,
11/27/2004,Baba Mountain -  Bamian Province -  Afghanistan,Air Accident,
11/27/2004,Baba Mountain -  Bamian Province -  Afghanistan,Air Accident,
11/27/2004,Baba Mountain -  Bamian Province -  Afghanistan,Air Accident,
2/3/2005,Koh-e-chapari -  Afghanistan,Air Accident,
2/3/2005,Koh-e-chapari -  Afghanistan,Air Accident,
2/3/2005,Koh-e-chapari -  Afghanistan,Air Accident,
2/3/2005,Koh-e-chapari -  Afghanistan,Air Accident,
2/3/2005,Koh-e-chapari -  Afghanistan,Air Accident,
2/3/2005,Koh-e-chapari -  Afghanistan,Air Accident,
4/6/2005,Ghazni -  Afghanistan,Air Accident,
4/6/2005,Ghazni -  Afghanistan,Air Accident,
4/6/2005,Ghazni -  Afghanistan,Air Accident,
4/23/2005,Ghazni -  Afghanistan,Veh. Accident-Auto,
6/1/2005,Kandahar -  Afghanistan,Terrorist Action,
6/25/2005,Bagram Air Base -  Afghanistan,Suicide,
